Season,Name,PlayerId,Team,K%,TBF,Stuff+,Age
2021,Francisco Mejía,642336,TBR,0,14,-11.1,25
2021,Josh Reddick,502210,ARI,0,5,-11.01882353,34
2021,Albert Almora Jr.,546991,NYM,0,6,9.1,27
2021,Anthony Bemboom,621532,LAA,0,7,15.12,31
2021,Austin Wynns,642851,BAL,0,4,20.42666667,30
2021,Jonathan Araúz,660620,BOS,0,5,21.04,22
2021,Bryan Holaday,592407,ARI,0,5,24.22,33
2021,Ronald Torreyes,591720,PHI,0.07142857,14,28.06529412,28
2021,Eric Sogard,519299,CHC,0.04761905,21,30.84941176,35
2021,Marwin Gonzalez,503556,BOS,0,3,30.86363636,32
2021,Wyatt Mathisen,621500,ARI,0,4,32.58,27
2021,Jace Peterson,607054,MIL,0.18181818,11,33.2095,31
2021,Ka'ai Tom,664789,OAK,0,4,33.446,27
2021,Asdrúbal Cabrera,452678,ARI,0,4,34.21764706,35
2021,Luis Guillorme,641645,NYM,0,7,35.32,26
2021,Brock Holt,571788,TEX,0,3,35.58,33
2021,Stevie Wilkerson,592859,BAL,0,5,37.78,29
2021,David Peralta,444482,ARI,0.11111111,9,37.8,33
2021,Mike Tauchman,643565,SFG,0,6,37.84,30
2021,Harold Castro,605612,DET,0,11,38.425625,27
2021,Yermín Mercedes,606213,CHW,0,7,39.83125,28
2021,Mike Freeman,502273,CIN,1,1,40.4,33
2021,Jordan Luplow,656669,TBR,0,5,42.43,27
2021,Jack Mayfield,608686,SEA,0,1,44.79333333,30
2021,Wilmer Difo,594694,PIT,0.05555556,18,44.80237288,29
2021,Daniel Robertson,621002,MIL,0,4,45.22,27
2021,Danny Mendick,664901,CHW,0.2,5,46.452,27
2021,Max Schrock,621011,CIN,0.16666667,6,49.19866667,26
2021,Pat Valaika,642162,BAL,0,5,49.61428571,28
2021,Matt Carpenter,572761,STL,0,6,51.05615385,35
2021,Kevin Pillar,607680,NYM,0,1,52.5,32
2021,Robel García,596825,HOU,0,8,52.63931034,28
2021,Kevin Plawecki,608700,BOS,0,3,52.82222222,30
2021,Andrew Romine,461865,CHC,0.2,5,53.44666667,35
2021,Christian Arroyo,624414,BOS,0,5,53.56,26
2021,Jake Rogers,668670,DET,0,6,53.89411765,26
2021,Joshua Fuentes,658069,COL,0,4,54.2,28
2021,Darin Ruf,573131,SFG,0,6,54.68,34
2021,Willians Astudillo,553902,MIN,0,16,55.96117647,29
2021,John Nogowski,596056,PIT,0,16,57.02571429,28
2021,Luke Maile,571912,MIL,0,5,57.24,30
2021,Justin Turner,457759,LAD,0,5,57.878,36
2021,Romy Gonzalez,663853,CHW,1,1,58.05,24
2021,Hernán Pérez,541650,WSN,0.28571429,7,58.35,30
2021,Andrew Knapp,595284,PHI,0,1,59.54,29
2021,Brett Phillips,621433,TBR,0,7,61.74608696,27
2021,Phillip Evans,595943,PIT,0,3,62.38,28
2021,Charlie Culberson,518586,TEX,0,7,63.39466667,32
2021,Andy Burns,542992,LAD,0.16666667,6,63.785,30
2021,Noah Syndergaard,592789,NYM,0.25,8,64.58692308,28
2021,Austin Slater,596103,SFG,0,2,68.44666667,28
2021,Brandon Drury,592273,NYM,0,7,69.56962963,28
2021,Nick Maton,665155,PHI,1,1,69.66,24
2021,Akeem Bostick,641384,NYM,0,4,70.44142857,26
2021,Charlie Barnes,656212,MIN,0.11428571,175,71.41486923,25
2021,Drew Carlton,656290,DET,0.05263158,19,71.87534247,25
2021,Thomas Eshelman,664045,BAL,0.08730159,126,71.89810138,27
2021,Zach Davies,605200,CHC,0.17065868,668,73.03157154,28
2021,Sandy León,506702,MIA,0.07692308,26,73.30760563,32
2021,Anthony Rizzo,519203,CHC,0.33333333,3,73.80933333,31
2021,Brandon Brennan,592165,BOS,0.09090909,11,74.16428571,29
2021,Hans Crouse,668968,PHI,0.0625,32,74.17615385,22
2021,Kyle Dohy,675971,PHI,0.2,5,74.70774194,24
2021,Brandon Workman,519443,- - -,0.18382353,136,74.92601942,32
2021,Scott Blewett,656240,KCR,0.19047619,21,75,25
2021,Ryan Hartman,670057,HOU,0.2,10,75.01782609,27
2021,Jake Cronenworth,630105,SDP,0.33333333,3,75.2,27
2021,David Paulino,600944,PHI,0,9,75.410625,27
2021,Adam Eaton,594809,LAA,0,5,75.64857143,32
2021,R.J. Alaniz,595798,CIN,0.23076923,13,75.94816901,30
2021,Preston Guilmet,543258,MIA,0.14285714,7,76.3262069,33
2021,Darren McCaughan,670766,SEA,0.05128205,39,76.58060417,25
2021,Hanser Alberto,593643,KCR,0,1,76.8,28
2021,Pedro Strop,467008,CHC,0.3,10,78.46488889,36
2021,Mickey Jannis,595263,BAL,0.04761905,21,79.53211268,33
2021,Zack Godley,643327,MIL,0.25,20,79.54840909,31
2021,Thomas Szapucki,663378,NYM,0.2,20,79.57926829,25
2021,Alex Blandino,607468,CIN,0.05555556,18,79.70472222,28
2021,Ryan Castellani,624418,COL,0.11764706,17,80.28215385,25
2021,Dakota Hudson,641712,STL,0.17647059,34,80.3329771,26
2021,Bryan Garcia,650530,DET,0.16666667,192,80.54455526,26
2021,Adrian Sampson,592716,CHC,0.19310345,145,80.75464424,29
2021,César Valdez,491624,BAL,0.21428571,210,81.06660147,36
2021,Jerad Eickhoff,595191,NYM,0.125,104,81.14155178,30
2021,Riley O'Brien,676617,CIN,0.22222222,9,81.36190476,26
2021,Luis Avilán,501593,WSN,0.14814815,27,81.39314815,31
2021,Matt Duffy,622110,CHC,0,1,81.688,30
2021,Nivaldo Rodriguez,670550,HOU,0.09677419,31,81.73421053,24
2021,Nick Tropeano,607374,- - -,0.05882353,34,81.74893902,30
2021,Spenser Watkins,657093,BAL,0.1372549,255,81.75634092,28
2021,Jordan Zimmermann,519455,MIL,0,26,82.08512195,35
2021,Kyle Wright,657140,ATL,0.17142857,35,82.09863636,25
2021,Konner Wade,592831,BAL,0.171875,64,82.47975806,29
2021,Brent Honeywell,641703,TBR,0.19047619,21,82.52226154,26
2021,Bernardo Flores Jr.,641576,STL,0,3,82.71166667,25
2021,Félix Peña,570240,LAA,0.125,16,82.886875,31
2021,Aaron Sanchez,592717,SFG,0.16666667,156,83.04969606,28
2021,Mike Fiers,571666,OAK,0.11111111,45,83.28373333,36
2021,Mitch Moreland,519048,OAK,0.25,4,83.51294118,35
2021,Will Vest,676684,SEA,0.17307692,156,83.65640264,26
2021,Devin Smeltzer,656970,MIN,0.17647059,17,83.67,25
2021,Keury Mella,622492,ARI,0.13333333,15,83.7772,27
2021,Roel Ramírez,641995,STL,0,4,83.81428571,26
2021,Beau Burrows,663366,- - -,0.13793103,58,84.14801498,24
2021,Drew Hutchison,571800,DET,0.10989011,91,84.23817275,30
2021,Tyler Clippard,461325,ARI,0.18918919,111,84.28816626,36
2021,Tanner Roark,543699,TOR,0.16129032,31,84.47022901,34
2021,Steven Brault,643230,PIT,0.1496063,127,84.48723232,29
2021,Seth Frankoff,571676,ARI,0.14864865,74,84.73966504,32
2021,Packy Naughton,676050,LAA,0.11111111,108,84.76375979,25
2021,Corey Oswalt,621261,NYM,0.23809524,42,84.85485755,27
2021,Jonathan Stiever,680692,CHW,0,4,84.89333333,24
2021,Ryan Meisinger,664682,CHC,0.15789474,38,84.9677027,27
2021,Zach Plesac,668676,CLE,0.16722408,598,85.00200818,26
2021,Dallas Keuchel,572971,CHW,0.13194444,720,85.09383005,33
2021,Connor Seabold,657756,BOS,0,12,85.28511628,25
2021,Humberto Mejía,650668,ARI,0.19047619,105,85.40282974,24
2021,Lewis Thorpe,626929,MIN,0.09090909,66,85.40589641,25
2021,Miguel Yajure,664337,PIT,0.16176471,68,85.40719665,23
2021,Shea Spitzbarth,665661,PIT,0.04545455,22,85.47902439,26
2021,Mike Wright Jr.,605541,CHW,0.13580247,81,85.59261538,31
2021,Alex Wells,649144,BAL,0.1319797,197,85.69949602,24
2021,Jon Lester,452657,- - -,0.14513557,627,85.74212311,37
2021,David Hale,571735,PHI,0.18103448,116,85.77762863,33
2021,Brody Koerner,621259,NYY,0.07692308,13,85.805,27
2021,Jaime Barria,642545,LAA,0.14,250,85.91101418,24
2021,Ashton Goudeau,623485,- - -,0.15602837,141,86.12951382,28
2021,Cooper Criswell,681867,LAA,0,10,86.24243902,24
2021,Kevin Quackenbush,534812,LAD,0.25,4,86.346,32
2021,Cody Ponce,664074,PIT,0.20111732,179,86.64485859,27
2021,Brett Anderson,474463,MIL,0.14180929,409,86.74263898,33
2021,Nick Allgeyer,680430,TOR,0,3,86.79142857,25
2021,Marcos Diplán,650959,BAL,0.19512195,123,86.79304688,24
2021,Connor Overton,656818,- - -,0.23809524,63,86.80500355,27
2021,Stefan Crichton,592233,ARI,0.14529915,117,86.80684864,29
2021,Mike Baumann,657508,BAL,0.1,50,86.85502703,25
2021,Carl Edwards Jr.,605218,- - -,0.19354839,31,86.87765766,29
2021,Jonathan Heasley,669169,KCR,0.10169492,59,86.88992188,24
2021,Matt Shoemaker,533167,MIN,0.14084507,284,87.07698791,34
2021,Will Harris,501789,WSN,0.3,30,87.21037037,36
2021,Ryan Feltner,663372,COL,0.18181818,33,87.23035461,24
2021,AJ Ramos,573109,LAA,0.1875,16,87.305,34
2021,Kohei Arihara,685503,TEX,0.13483146,178,87.44164029,28
2021,Paul Blackburn,621112,OAK,0.14857143,175,87.48722714,27
2021,Kris Bubic,663460,KCR,0.20503597,556,87.51481354,23
2021,Pedro Avila,658648,SDP,0.25,20,87.52714286,24
2021,James Kaprielian,621076,OAK,0.24501992,502,87.53414707,27
2021,Mitch Keller,656605,PIT,0.19574468,470,87.56262331,25
2021,Nick Ramirez,598286,SDP,0.15384615,91,87.64496815,31
2021,T.J. McFarland,519008,STL,0.14583333,144,87.67101563,32
2021,Daniel Ponce de Leon,594965,STL,0.15189873,158,87.71905072,29
2021,Carson Fulmer,608334,CIN,0.20689655,116,87.72283146,27
2021,David Peterson,656849,NYM,0.24041812,287,87.7668823,25
2021,Luís Madero,650347,MIA,0.07142857,56,87.77392523,24
2021,Peter Solomon,656981,HOU,0.18181818,55,87.8507489,24
2021,Anthony Swarzak,461872,- - -,0.16071429,56,87.86452261,35
2021,Zac Lowther,675912,BAL,0.2173913,138,87.87376047,25
2021,Vinny Nittoli,657697,SEA,0.16666667,6,87.88153846,30
2021,Tyler Zuber,676604,KCR,0.20325203,123,87.97656126,26
2021,Andre Scrubb,668687,HOU,0.24418605,86,87.99875706,26
2021,Cory Abbott,676265,CHC,0.14634146,82,88.01151289,25
2021,Luis Oviedo,665854,PIT,0.21088435,147,88.01862564,22
2021,Tanner Anderson,664196,PIT,0.05263158,19,88.0790625,28
2021,Jhon Romero,664584,WSN,0.17647059,17,88.17384615,26
2021,Corbin Martin,656686,ARI,0.15116279,86,88.18904686,25
2021,Jake Odorizzi,543606,HOU,0.20634921,441,88.1935526,31
2021,Kwang Hyun Kim,547942,STL,0.17699115,452,88.20089289,32
2021,Angel Zerpa,672582,KCR,0.2,20,88.21641791,21
2021,Nick Neidert,663734,MIA,0.13375796,157,88.23007205,24
2021,Drew Anderson,623454,TEX,0.0989011,91,88.23630682,27
2021,Eli Morgan,669212,CLE,0.21372032,379,88.24504965,25
2021,Matt Manning,666159,DET,0.14805195,385,88.2851097,23
2021,Tyler Beede,595881,SFG,0.33333333,6,88.29642857,28
2021,Domingo Acevedo,642758,OAK,0.20454545,44,88.31206897,27
2021,Vladimir Gutierrez,661269,CIN,0.17741935,496,88.31450138,25
2021,Brandyn Sittinger,670087,ARI,0.04761905,21,88.348,27
2021,Randy Dobnak,677976,MIN,0.11842105,228,88.35301798,26
2021,Johnny Cueto,456501,SFG,0.2,490,88.47204776,35
2021,Zack Greinke,425844,HOU,0.17216643,697,88.48877732,37
2021,Mike Kickham,592464,LAD,0.16666667,12,88.524,32
2021,Adam Plutko,592644,BAL,0.17254902,255,88.54679547,29
2021,Alec Bettinger,676424,MIL,0.09803922,51,88.55684559,25
2021,Pedro Báez,520980,HOU,0.33333333,15,88.55830508,33
2021,Wil Crowe,640444,PIT,0.21183206,524,88.56646839,26
2021,Sean Reid-Foley,656887,NYM,0.2826087,92,88.64226415,25
2021,Brandon Dickson,505447,STL,0.1,10,88.68857143,36
2021,Wily Peralta,503449,DET,0.14427861,402,88.69057662,32
2021,Jake Faria,607188,ARI,0.20779221,154,88.69839514,27
2021,Kyle Lobstein,543456,WSN,0.125,8,88.7,31
2021,Daulton Jefferies,641726,OAK,0.13793103,58,88.74509091,25
2021,Jake Woodford,663765,STL,0.17064846,293,88.81752008,24
2021,Nick Wittgren,621295,CLE,0.23643411,258,88.82786621,30
2021,Tyler Webb,643778,STL,0.15217391,92,89.06112532,30
2021,Yennsy Díaz,660546,NYM,0.1875,112,89.07973094,24
2021,David Hess,605276,- - -,0.17647059,102,89.08485014,27
2021,Bryse Wilson,669060,- - -,0.14285714,322,89.16337266,23
2021,Trevor Hildenberger,657610,NYM,0.28571429,14,89.18448276,30
2021,Matt Harvey,518774,BAL,0.16323024,582,89.19219775,32
2021,Jake Arrieta,453562,- - -,0.17697228,469,89.1941195,35
2021,Javy Guerra,457915,WSN,0.10810811,37,89.20027586,35
2021,Chase Anderson,502624,PHI,0.1627907,215,89.20809093,33
2021,Chi Chi González,592346,COL,0.125,448,89.23111593,29
2021,Javy Guerra,642770,SDP,0.16666667,18,89.31666667,25
2021,Griffin Jax,643377,MIN,0.18055556,360,89.36082837,26
2021,Jesus Tinoco,622786,COL,0,10,89.394375,26
2021,Ljay Newsome,664714,SEA,0.23188406,69,89.41048015,24
2021,Mauricio Llovera,661440,PHI,0.2,35,89.52110345,25
2021,Jordan Lyles,543475,TEX,0.18985696,769,89.58973212,30
2021,Kyle Tyler,667725,LAA,0.11538462,52,89.59305263,24
2021,Nick Vincent,543883,MIN,0.19148936,47,89.61802198,34
2021,Bruce Zimmermann,669145,BAL,0.19649123,285,89.63014482,26
2021,Brandon Kintzler,445213,PHI,0.15602837,141,89.63416358,36
2021,Tony Santillan,663574,CIN,0.29473684,190,89.67691612,24
2021,Jordan Sheffield,642068,COL,0.17241379,116,89.73442982,26
2021,Yency Almonte,622075,COL,0.21658986,217,89.75623853,27
2021,Fernando Abad,472551,BAL,0.12195122,82,89.79424749,35
